,Title,Rating,Genres,Studio,Sources,Status,Type,Synopsis,Episodes,Date,Duration,Img_Url
44,Great Teacher Onizuka,8.70," Slice of Life, Comedy, Drama, School, Shounen", Studio Pierrot, Manga, Finished Airing, TV,"Twenty-two-year-old Eikichi Onizuka—ex-biker gang leader, conqueror of Shonan, and virgin—has a dream: to become the greatest high school teacher in all of Japan. This isn't because of a passion for teaching, but because he wants a loving teenage wife when he's old and gray. Still, for a perverted, greedy, and lazy delinquent, there is more to Onizuka than meets the eye. So when he lands a job as the homeroom teacher of the Class 3-4 at the prestigious Holy Forest Academy—despite suplexing the Vice Principal—all of his talents are put to the test, as this class is particularly infamous.Due to their utter contempt for all teachers, the class' students use psychological warfare to mentally break any new homeroom teacher they get, forcing them to quit and leave school. However, Onizuka isn't your average teacher, and he's ready for any challenge in his way.Bullying, suicide, and sexual harassment are just a few of the issues his students face daily. By tackling the roots of their problems, Onizuka supports them with his unpredictable and unconventional methods—even if it means jumping off a building to save a suicidal child. Thanks to his eccentric charm and fun-loving nature, Class 3-4 slowly learns just how enjoyable school can be when you're the pupils of the Great Teacher Onizuka.[Written by MAL Rewrite]", 43," Jun 30, 1999 to Sep 17, 2000", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/13/11460.jpg
45,"Mononoke Hime
Princess Mononoke",8.70," Action, Adventure, Fantasy", Studio Ghibli, Original, Finished Airing, Movie,"When an Emishi village is attacked by a fierce demon boar, the young prince Ashitaka puts his life at stake to defend his tribe. With its dying breath, the beast curses the prince's arm, granting him demonic powers while gradually siphoning his life away. Instructed by the village elders to travel westward for a cure, Ashitaka arrives at Tatara, the Iron Town, where he finds himself embroiled in a fierce conflict: Lady Eboshi of Tatara, promoting constant deforestation, stands against Princess San and the sacred spirits of the forest, who are furious at the destruction brought by the humans. As the opposing forces of nature and mankind begin to clash in a desperate struggle for survival, Ashitaka attempts to seek harmony between the two, all the while battling the latent demon inside of him. Princess Mononoke is a tale depicting the connection of technology and nature, while showing the path to harmony that could be achieved by mutual acceptance.[Written by MAL Rewrite]", 1," Jul 12, 1997", 2 hr. 13 min.,https://cdn.myanimelist.net/images/anime/7/75919.jpg
46,"Shigatsu wa Kimi no Uso
Your Lie in April",8.70," Music, Drama, Romance, School, Shounen", A-1 Pictures, Manga, Finished Airing, TV,"Music accompanies the path of the human metronome, the prodigious pianist Kousei Arima. But after the passing of his mother, Saki Arima, Kousei falls into a downward spiral, rendering him unable to hear the sound of his own piano.Two years later, Kousei still avoids the piano, leaving behind his admirers and rivals, and lives a colorless life alongside his friends Tsubaki Sawabe and Ryouta Watari. However, everything changes when he meets a beautiful violinist, Kaori Miyazono, who stirs up his world and sets him on a journey to face music again.Based on the manga series of the same name, Shigatsu wa Kimi no Uso approaches the story of Kousei's recovery as he discovers that music is more than playing each note perfectly, and a single melody can bring in the fresh spring air of April.[Written by MAL Rewrite]", 22," Oct 10, 2014 to Mar 20, 2015", 22 min. per ep.,https://cdn.myanimelist.net/images/anime/3/67177.jpg
47,"Mushishi
Mushi-Shi",8.68," Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen", Artland, Manga, Finished Airing, TV,"""Mushi"": the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.So what are Mushi and why do they exist? This is the question that a ""Mushishi,"" Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.It could, after all, lead to the meaning of life itself.[Written by MAL Rewrite]", 26," Oct 23, 2005 to Jun 19, 2006", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/2/73862.jpg
48,"Ashita no Joe 2
Rocky Joe 2",8.68," Action, Drama, Shounen, Slice of Life, Sports", Tokyo Movie Shinsha, Manga, Finished Airing, TV,"Yabuki Joe is left downhearted and hopeless after a certain tragic event. In attempt to put the past behind him, Joe leaves the gym behind and begins wandering. On his travels he comes across the likes of Wolf Kanagushi and Goromaki Gondo, men who unintentionally fan the dying embers inside him, leading him to putting his wanderings to an end. His return home puts Joe back on the path to boxing, but unknown to himself and his trainer, he now suffers deep-set issues holding him back from fighting. In attempt to quell those issues, Carlos Rivera, a world renowned boxer is invited from Venezuela to help Joe recover.", 47," Oct 13, 1980 to Aug 31, 1981", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/45028.jpg
49,"Haikyuu!! Second Season
Haikyu!! 2nd Season",8.68," Comedy, Sports, Drama, School, Shounen", Production I.G, Manga, Finished Airing, TV,"Following their participation at the Inter-High, the Karasuno High School volleyball team attempts to refocus their efforts, aiming to conquer the Spring tournament instead.When they receive an invitation from long-standing rival Nekoma High, Karasuno agrees to take part in a large training camp alongside many notable volleyball teams in Tokyo and even some national level players. By playing with some of the toughest teams in Japan, they hope not only to sharpen their skills, but also come up with new attacks that would strengthen them. Moreover, Hinata and Kageyama attempt to devise a more powerful weapon, one that could possibly break the sturdiest of blocks.Facing what may be their last chance at victory before the senior players graduate, the members of Karasuno's volleyball team must learn to settle their differences and train harder than ever if they hope to overcome formidable opponents old and new—including their archrival Aoba Jousai and its world-class setter Tooru Oikawa.[Written by MAL Rewrite]", 25," Oct 4, 2015 to Mar 27, 2016", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/9/76662.jpg
50,"Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen
Kaguya-sama: Love is War Season 2",8.68," Comedy, Psychological, Romance, School, Seinen", A-1 Pictures, Manga, Finished Airing, TV,"After a slow but eventful summer vacation, Shuchiin Academy's second term is now starting in full force. As August transitions into September, Miyuki Shirogane's birthday looms ever closer, leaving Kaguya Shinomiya in a serious predicament as to how to celebrate it. Furthermore, the tenure of the school's 67th student council is coming to an end. Due to the council members being in different classes, the only time Kaguya and Miyuki have to be together will soon disappear, putting all of their cunning plans at risk.A long and difficult election that will decide the fate of the new student council awaits, as multiple challengers fight for the coveted title of president.[Written by MAL Rewrite]", 12," Apr 11, 2020 to Jun 27, 2020", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1764/106659.jpg
51,"Hajime no Ippo: New Challenger
Fighting Spirit: New Challenger",8.66," Comedy, Sports, Drama, Shounen", Madhouse, Manga, Finished Airing, TV,"Japanese Featherweight Champion Ippo Makunouchi has successfully defended and retained his title. Meanwhile, his rival, Ichirou Miyata, has resurfaced in Japan, aiming for his own Featherweight belt in the Oriental Pacific Boxing Federation. When the rest of the world comes knocking, however, will Japan's best fighters rise to the challenge and achieve glory at the top? Or will the small island nation be crushed under the weight of greater entities? This time, champions will become challengers issuing a call to the rest of the world and ready to show off their fighting spirit![Written by MAL Rewrite]", 26," Jan 7, 2009 to Jul 1, 2009", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/8/56617.jpg
52,"Howl no Ugoku Shiro
Howl's Moving Castle",8.66," Adventure, Drama, Fantasy, Romance",Licensors: Walt Disney Studios, Novel, Finished Airing, Movie,"That jumbled piece of architecture, that cacophony of hissing steam and creaking joints, with smoke billowing from it as it moves on its own... That castle is home to the magnificent wizard Howl, infamous for both his magical prowess and for being a womanizer—or so the rumor goes in Sophie Hatter's small town. Sophie, as the plain daughter of a hatmaker, does not expect much from her future and is content with working hard in the shop.However, Sophie's simple life takes a turn for the exciting when she is ensnared in a disturbing situation, and the mysterious wizard appears to rescue her. Unfortunately, this encounter, brief as it may be, spurs the vain and vengeful Witch of the Waste—in a fit of jealousy caused by a past discord with Howl—to put a curse on the maiden, turning her into an old woman.In an endeavor to return to normal, Sophie must accompany Howl and a myriad of eccentric companions—ranging from a powerful fire demon to a hopping scarecrow—in his living castle, on a dangerous adventure as a raging war tears their kingdom apart.[Written by MAL Rewrite]", 1," Nov 20, 2004", 1 hr. 59 min.,https://cdn.myanimelist.net/images/anime/5/75810.jpg
53,"Natsume Yuujinchou Shi
Natsume's Book of Friends Season 4",8.66," Slice of Life, Demons, Supernatural, Drama, Shoujo", Brain's Base, Manga, Finished Airing, TV,"Takashi Natsume, the timid youkai expert and master of the Book of Friends, continues his journey towards self-understanding and acceptance with the help of friends both new and old. His most important ally is still his gluttonous and sake-loving bodyguard, the arrogant but fiercely protective wolf spirit Madara—or Nyanko-sensei, as Madara is called when in his usual disguise of an unassuming, pudgy cat.Natsume, while briefly separated from Nyanko-sensei, is ambushed and kidnapped by a strange group of masked, monkey-like youkai, who have spirited him away to their forest as they desperately search for the Book of Friends. Realizing that his ""servant"" has been taken out from right under his nose, Nyanko-sensei enlists the help of Natsume's youkai friends and mounts a rescue operation. However, the forest of the monkey spirits holds many dangerous enemies, including the Matoba Clan, Natsume's old nemesis.Stretching from the formidable hideout of the Matoba to Natsume's own childhood home, Natsume Yuujinchou Shi is a sweeping but familiar return to a world of danger and friendship, where Natsume will finally confront the demons of his own past.[Written by MAL Rewrite]", 13," Jan 3, 2012 to Mar 27, 2012", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/3/37449.jpg
54,"Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai
Rascal Does Not Dream of a Dreaming Girl",8.65," Drama, Romance, School, Supernatural", CloverWorks, Light novel, Finished Airing, Movie,"Six months ago, Sakuta Azusagawa had a chance encounter with a bunny girl in a library. Ever since then, he's been blissfully happy with his girlfriend: Mai Sakurajima, that same bunny girl. However, the reappearance of his mysterious first crush, the now-adult Shouko Makinohara, adds a new complication to his relationship with Mai. To make matters worse, he then encounters a middle school Shouko in the hospital, suffering from a grave illness. Mysteriously, his old scars begin throbbing whenever he's near her.With Shouko's bizarre situation somehow revolving around him, Sakuta will need to come to terms with his own conflicting feelings, for better or worse. With a girl's life in his hands, just what can he do?[Written by MAL Rewrite]", 1," Jun 15, 2019", 1 hr. 30 min.,https://cdn.myanimelist.net/images/anime/1613/102179.jpg
55,"Tengen Toppa Gurren Lagann
Gurren Lagann",8.65," Action, Sci-Fi, Adventure, Comedy, Mecha"," TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai", Original, Finished Airing, TV,"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid young boy with no real aspirations. One day while excavating the earth, Simon stumbles upon a mysterious object that turns out to be the ignition key to an ancient artifact of war, which the duo dubs Lagann. Using their new weapon, Simon and Kamina fend off a surprise attack from the surface with the help of Yoko Littner, a hot-blooded redhead wielding a massive gun who wanders the world above.In the aftermath of the battle, the sky is now in plain view, prompting Simon and Kamina to set off on a journey alongside Yoko to explore the wastelands of the surface. Soon, they join the fight against the ""Beastmen,"" humanoid creatures that terrorize the remnants of humanity in powerful robots called ""Gunmen."" Although they face some challenges and setbacks, the trio bravely fights these new enemies alongside other survivors to reclaim the surface, while slowly unraveling a galaxy-sized mystery.[Written by MAL Rewrite]", 27," Apr 1, 2007 to Sep 30, 2007", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/4/5123.jpg
56,Violet Evergarden,8.65," Slice of Life, Drama, Fantasy", Kyoto Animation, Light novel, Finished Airing, TV,"The Great War finally came to an end after four long years of conflict; fractured in two, the continent of Telesis slowly began to flourish once again. Caught up in the bloodshed was Violet Evergarden, a young girl raised for the sole purpose of decimating enemy lines. Hospitalized and maimed in a bloody skirmish during the War's final leg, she was left with only words from the person she held dearest, but with no understanding of their meaning.Recovering from her wounds, Violet starts a new life working at CH Postal Services after a falling out with her new intended guardian family. There, she witnesses by pure chance the work of an ""Auto Memory Doll,"" amanuenses that transcribe people's thoughts and feelings into words on paper. Moved by the notion, Violet begins work as an Auto Memory Doll, a trade that will take her on an adventure, one that will reshape the lives of her clients and hopefully lead to self-discovery.[Written by MAL Rewrite]", 13," Jan 11, 2018 to Apr 5, 2018", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/1795/95088.jpg
57,"Natsume Yuujinchou Roku
Natsume's Book of Friends Season 6",8.64," Slice of Life, Demons, Supernatural, Drama, Shoujo", Shuka, Manga, Finished Airing, TV,"Takashi Natsume has grown accustomed to his encounters with youkai through the Book of Friends, which contains the names of youkai whom his grandmother, Reiko Natsume, has sealed in contracts. These encounters allow Natsume to better understand the youkai, Reiko, and himself.The Book of Friends is a powerful tool that can be used to control youkai; it is sought after by both youkai and exorcists alike. Natsume just wants to live out his daily life in peace but is constantly disrupted by these experiences. If he is to end this torment, Natsume must explore more about the book and the world of exorcism, as well as begin to open his heart to those who can help him.[Written by MAL Rewrite]", 11," Apr 12, 2017 to Jun 21, 2017", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/6/84416.jpg
58,"Suzumiya Haruhi no Shoushitsu
The Disappearance of Haruhi Suzumiya",8.64," Comedy, Mystery, Romance, School, Sci-Fi, Supernatural", Kyoto Animation, Light novel, Finished Airing, Movie,"One cold Christmas day, Kyon heads over to school and the SOS Brigade's holiday celebration, only to realize that Haruhi Suzumiya seems to have disappeared. Moreover, no one even remembers her or the SOS Brigade; Mikuru Asahina knows nothing and is now afraid of him, and Itsuki Koizumi has also gone missing. The Literature Club, formed only by an uncharacteristically shy Yuki Nagato, now occupies the old SOS club room.Suzumiya Haruhi no Shoushitsu is based on the fourth light novel of the acclaimed Haruhi series and is set after the events of the anime series. Not uncultured in the supernatural, Kyon will have to deal with his whole life turned upside down like a bad joke, and maybe it's better that way.[Written by MAL Rewrite]", 1," Feb 6, 2010", 2 hr. 42 min.,https://cdn.myanimelist.net/images/anime/1248/112352.jpg
59,"Shingeki no Kyojin Season 3
Attack on Titan Season 3",8.63," Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen", Wit Studio, Manga, Finished Airing, TV,"Still threatened by the ""Titans"" that rob them of their freedom, mankind remains caged inside the two remaining walls. Efforts to eradicate these monsters continue; however, threats arise not only from the Titans beyond the walls, but from the humans within them as well.After being rescued from the Colossal and Armored Titans, Eren Yaeger devotes himself to improving his Titan form. Krista Lenz struggles to accept the loss of her friend, Captain Levi chooses Eren and his friends to form his new personal squad, and Commander Erwin Smith recovers from his injuries. All seems well for the soldiers, until the government suddenly demands custody of Eren and Krista. The Survey Corps' recent successes have drawn attention, and a familiar face from Levi's past is sent to collect the wanted soldiers. Sought after by the government, Levi and his new squad must evade their adversaries in hopes of keeping Eren and Krista safe.In Shingeki no Kyojin Season 3, Eren and his fellow soldiers are not only fighting for their survival against the terrifying Titans, but also against the terror of a far more conniving foe: humans.[Written by MAL Rewrite]", 12," Jul 23, 2018 to Oct 15, 2018", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1173/92110.jpg
60,Death Note,8.63," Mystery, Police, Psychological, Supernatural, Thriller, Shounen", Madhouse, Manga, Finished Airing, TV,"A shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm.High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be.With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L.[Written by MAL Rewrite]", 37," Oct 4, 2006 to Jun 27, 2007", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/9/9453.jpg
61,Mushishi Zoku Shou: Suzu no Shizuku,8.62," Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural", Artland, Manga, Finished Airing, Movie,"On a warm summer day, a boy heard the sound of bells ringing, as if in celebration, in the mountain near his home. Several years later in that same mountain, the mushishi Ginko encounters a strange girl with weeds growing out of her body. Soon after, Ginko coincidentally runs into the now grown-up boy Yoshiro on his way off the mountain. With Yoshiro’s help, Ginko soon begins to uncover who this mysterious girl is and what happened to her.An adaptation of the last arc in the manga, Mushishi Zoku Shou: Suzu no Shizuku follows Ginko’s peculiar journey amidst the occult to unravel the mystery behind the enigmatic girl called Kaya and the mountain that has become her home.[Written by MAL Rewrite]", 1," May 16, 2015", 47 min.,https://cdn.myanimelist.net/images/anime/9/72689.jpg
62,"Ookami Kodomo no Ame to Yuki
Wolf Children",8.62," Fantasy, Slice of Life", Studio Chizu, Original, Finished Airing, Movie,"Hana, a hard-working college student, falls in love with a mysterious man who attends one of her classes though he is not an actual student. As it turns out, he is not truly human either. On a full moon night, he transforms, revealing that he is the last werewolf alive. Despite this, Hana's love remains strong, and the two ultimately decide to start a family.Hana gives birth to two healthy children—Ame, born during rainfall, and Yuki, born during snowfall—both possessing the ability to turn into wolves, a trait inherited from their father. All too soon, however, the sudden death of her lover devastates Hana's life, leaving her to raise a peculiar family completely on her own. The stress of raising her wild-natured children in a densely populated city, all while keeping their identity a secret, culminates in a decision to move to the countryside, where she hopes Ame and Yuki can live a life free from the judgments of society. Wolf Children is the heartwarming story about the challenges of being a single mother in an unforgiving modern world.[Written by MAL Rewrite]", 1," Jul 21, 2012", 1 hr. 57 min.,https://cdn.myanimelist.net/images/anime/9/35721.jpg
63,Ping Pong the Animation,8.62," Drama, Psychological, Seinen, Sports", Tatsunoko Production, Manga, Finished Airing, TV,"""The hero comes. The hero comes. The hero comes. Chant these words in your mind, and I'll surely come to you..."" This mantra is what Makoto Tsukimoto repeats as a source of motivation when he fights through the stress of not only grueling ping pong matches, but also in situations of his life. Makoto doesn't fight alone; he and his friend, Yutaka Hoshino, nicknamed Smile and Peco respectively, are two boys who have grown up playing ping pong together nearly every day. Peco, brimming with confidence, aims to be the best table tennis player in the world; Smile, on the other hand, shows little ambition. Nevertheless, the two have always stuck together, with a bond built upon their mutual love for this sport.Every year, students from all across Japan gather for the inter-high table tennis competition to achieve national and international stardom. Through intense training and competition, only the very best persevere.From the avant-garde director of Yojouhan Shinwa Taikei, Masaaki Yuasa, Ping Pong the Animation serves a tale of ambition with its fair share of bumps along the way. Whatever the odds, Peco and Smile will face them together.[Written by MAL Rewrite]", 11," Apr 11, 2014 to Jun 20, 2014", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/10/58041.jpg
64,"Yakusoku no Neverland
The Promised Neverland",8.60," Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen", CloverWorks, Manga, Finished Airing, TV,"Surrounded by a forest and a gated entrance, the Grace Field House is inhabited by orphans happily living together as one big family, looked after by their ""Mama,"" Isabella. Although they are required to take tests daily, the children are free to spend their time as they see fit, usually playing outside, as long as they do not venture too far from the orphanage—a rule they are expected to follow no matter what. However, all good times must come to an end, as every few months, a child is adopted and sent to live with their new family, never to be heard from again.However, the three oldest siblings have their suspicions about what is actually happening at the orphanage, and they are about to discover the cruel fate that awaits the children living at Grace Field, including the twisted nature of their beloved Mama.[Written by MAL Rewrite]", 12," Jan 10, 2019 to Mar 29, 2019", 22 min. per ep.,https://cdn.myanimelist.net/images/anime/1125/96929.jpg
65,"Yojouhan Shinwa Taikei
The Tatami Galaxy",8.60," Mystery, Comedy, Psychological, Romance", Madhouse, Novel, Finished Airing, TV,"One autumn evening at a mysterious ramen stand behind the Shimogamo Shrine, a lonely third-year college student bumps into a man with an eggplant-shaped head who calls himself a god of matrimony. Meeting this man causes the student to reflect upon his past two years at college—two years bitterly spent trying to break up couples on campus with his only friend Ozu, a ghoulish-looking man seemingly set on making his life as miserable as possible. Resolving to make the most out of the rest of his college life, the student attempts to ask out the unsociable but kind-hearted underclassman Akashi, yet fails to follow through, prompting him to regret not living out his college life differently. As soon as this thought passes through his head, however, he is hurtled through time and space to the beginning of his years at college and given another chance to live his life.Surreal, artistic, and mind-bending, Yojouhan Shinwa Taikei chronicles the misadventures of a young man on a journey to make friends, find love, and experience the rose-colored campus life he always dreamed of.[Written by MAL Rewrite]", 11," Apr 23, 2010 to Jul 2, 2010", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/10/50457.jpg
66,"Fumetsu no Anata e
To Your Eternity",8.60," Adventure, Drama, Shounen, Supernatural", Brain's Base, Manga, Currently Airing, TV,"An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.It is inept of movement until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. Although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day.The boy wants to explore new surroundings and decides to abandon his home with It to find the paradise using the traces his tribe left behind. However, with a heavily injured body and no sight of his elder comrades, what will become of the boy?Fumetsu no Anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.[Written by MAL Rewrite]", 20," Apr 12, 2021 to ?", 25 min. per ep.,https://cdn.myanimelist.net/images/anime/1134/111757.jpg
67,"Josee to Tora to Sakana-tachi
Josee, the Tiger and the Fish",8.60," Slice of Life, Drama, Romance", Bones, Novel, Finished Airing, Movie,"A youth romantic drama with themes of growing up, the story focuses on college student Tsuneo and dreamer Josee, who lives her life stuck in a wheelchair. Josee—named after the heroine in Françoise Sagan's Wonderful Clouds—spends most of her days reading and painting until by chance she encounters Tsuneo, and decides it's time to face the real world.(Source: MAL News)", 1," Dec 25, 2020", 1 hr. 38 min.,https://cdn.myanimelist.net/images/anime/1714/108892.jpg
68,"Kizumonogatari II: Nekketsu-hen
Kizumonogatari Part 2: Nekketsu",8.60," Action, Mystery, Supernatural, Vampire", Shaft, Light novel, Finished Airing, Movie,"No longer truly human, Koyomi Araragi decides to retrieve Kiss-shot Acerola-orion Heart-under-blade's severed body parts that were stolen by three powerful vampire hunters. Awaiting him are Dramaturgie, a vampire hunter who is a vampire himself; Episode, a half-vampire with the ability to transform into mist; and Guillotinecutter, a human priest who is the most dangerous of them all.Unbeknownst to Araragi, each minute he spends trying to retrieve Kiss-shot's limbs makes him less of a human and more of a vampire. Will he be able to keep his wish of becoming human once again by the end of his battles?[Written by MAL Rewrite]", 1," Aug 19, 2016", 1 hr. 4 min.,https://cdn.myanimelist.net/images/anime/8/80930.jpg
69,"Hajime no Ippo: Rising
Hajime No Ippo: The Fighting!",8.59," Comedy, Sports, Drama, Shounen"," Madhouse, MAPPA", Manga, Finished Airing, TV,"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and right, claiming to have an answer for the move responsible for crushing his opponents. Will Ippo be able to step up to the challenge, or will the weight of his pride destroy him before he finds out just what it means to be strong? Meanwhile, fellow Kamogawa Gym mate Aoki Masaru is just a hop, skip, and a Frog Punch away from claiming his own belt, ready to take on the Japanese Lightweight Champion!Hajime no Ippo: Rising continues Ippo's quest to become stronger, featuring the same cast of loveable dimwits from Kamogawa Gym, as they put their bodies and hearts on the line to make their way in the harsh world of professional boxing. With a will of iron, Ippo steps into the ring once again.[Written by MAL Rewrite]", 25," Oct 6, 2013 to Mar 29, 2014", 22 min. per ep.,https://cdn.myanimelist.net/images/anime/6/56147.jpg
70,"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze
JoJo's Bizarre Adventure: Golden Wind",8.59," Action, Adventure, Shounen", David Production, Manga, Finished Airing, TV,"In the coastal city of Naples, corruption is teeming—the police blatantly conspire with outlaws, drugs run rampant around the youth, and the mafia governs the streets with an iron fist. However, various fateful encounters will soon occur.Enter Giorno Giovanna, a 15-year-old boy with an eccentric connection to the Joestar family, who makes a living out of part-time jobs and pickpocketing. Furthermore, he is gifted with the unexplained Stand ability to give and create life—growing plants from the ground and turning inanimate objects into live animals, an ability he has dubbed ""Gold Experience."" Fascinated by the might of local gangsters, Giorno has dreamed of rising up in their ranks and becoming a ""Gang-Star,"" a feat made possible by his encounter with Bruno Buccellati, a member of the Passione gang with his own sense of justice.JoJo no Kimyou na Bouken: Ougon no Kaze follows the endeavors of Giorno after joining Bruno's team while working under Passione, fending off other gangsters and secretly plotting to overthrow their mysterious boss.[Written by MAL Rewrite]", 39," Oct 6, 2018 to Jul 28, 2019", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1572/95010.jpg
71,"Kimetsu no Yaiba
Demon Slayer: Kimetsu no Yaiba",8.59," Action, Demons, Historical, Shounen, Supernatural", ufotable, Manga, Finished Airing, TV,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado's shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjoy a relatively peaceful and happy life. One day, Tanjirou decides to go down to the local village to make a little money selling charcoal. On his way back, night falls, forcing Tanjirou to take shelter in the house of a strange man, who warns him of the existence of flesh-eating demons that lurk in the woods at night.When he finally arrives back home the next day, he is met with a horrifying sight—his whole family has been slaughtered. Worse still, the sole survivor is his sister Nezuko, who has been turned into a bloodthirsty demon. Consumed by rage and hatred, Tanjirou swears to avenge his family and stay by his only remaining sibling. Alongside the mysterious group calling themselves the Demon Slayer Corps, Tanjirou will do whatever it takes to slay the demons and protect the remnants of his beloved sister's humanity.[Written by MAL Rewrite]", 26," Apr 6, 2019 to Sep 28, 2019", 23 min. per ep.,https://cdn.myanimelist.net/images/anime/1286/99889.jpg
72,"Kimi no Suizou wo Tabetai
I want to eat your pancreas",8.59," Slice of Life, Drama, Romance", Studio VOLN, Novel, Finished Airing, Movie,"The aloof protagonist: a bookworm who is deeply detached from the world he resides in. He has no interest in others and is firmly convinced that nobody has any interest in him either. His story begins when he stumbles across a handwritten book, titled ""Living with Dying."" He soon identifies it as a secret diary belonging to his popular, bubbly classmate Sakura Yamauchi. She then confides in him about the pancreatic disease she is suffering from and that her time left is finite. Only her family knows about her terminal illness; not even her best friends are aware. Despite this revelation, he shows zero sympathy for her plight, but caught in the waves of Sakura's persistent buoyancy, he eventually concedes to accompanying her for her remaining days.As the pair of polar opposites interact, their connection strengthens, interweaving through their choices made with each passing day. Her apparent nonchalance and unpredictability disrupts the protagonist's impassive flow of life, gradually opening his heart as he discovers and embraces the true meaning of living.[Written by MAL Rewrite]", 1," Sep 1, 2018", 1 hr. 48 min.,https://cdn.myanimelist.net/images/anime/1768/93291.jpg
73,"Natsume Yuujinchou San
Natsume's Book of Friends Season 3",8.59," Slice of Life, Demons, Supernatural, Drama, Shoujo", Brain's Base, Manga, Finished Airing, TV,"Natsume Yuujinchou San follows Takashi Natsume, a boy who is able to see youkai. Natsume and his bodyguard Madara, nicknamed Nyanko-sensei, continue on their quest to release youkai from their contracts in the ""Book of Friends.""Natsume comes to terms with his ability to see youkai and stops thinking of it as a curse. As he spends more time with his human and youkai friends, he realizes how much he values them both and decides he doesn't have to choose between the spirit and human worlds to be happy.[Written by MAL Rewrite]", 13," Jul 5, 2011 to Sep 27, 2011", 24 min. per ep.,https://cdn.myanimelist.net/images/anime/8/82394.jpg
