,Title,Rating,Genres,Volumes,Chapters,Status,Authors,Type,Synopsis,Published,Img_Url
45,Akira,8.71," Action, Sci-Fi, Seinen", 6, 120, Finished," Otomo, Katsuhiro (Story & Art)", Manga,"1988: It is World War III. Tokyo is decimated by a mysterious black explosion, unmatched in magnitude.2019: Fast forward 31 years. Neo-Tokyo, hastily built on the ruins of old Tokyo, is a sprawling cityscape of neon extravaganza. It is a fusion of towering skyscrapers and cutting-edge technology that is permeated through and through with an explosive, hyper-violent cocktail of biker gangs, poverty, and revolutionaries. In this derelict metropolis live Tetsuo Shima and Shoutarou Kaneda, two bikers who are the best of friends and the fiercest of rivals, despite being affiliated with the same gang. Desperate to prove himself as Kaneda's equal, Tetsuo unwittingly pulls a stunt that culminates in the awakening of a cryptic existence that threatens to change both the face of Neo-Tokyo and the lives of those who call the city their home—the awakening of a government secret simply known as Akira.[Written by MAL Rewrite]"," Dec 6, 1982 to Jun 11, 1990",https://cdn.myanimelist.net/images/manga/2/157929.jpg
46,"86
86—Eighty-Six",8.71," Action, Drama, Sci-Fi, Military", , , Publishing," Shirabi (Art), Asato, Asato (Story)", Light Novel,"Nine years ago, the Empire of Giad declared war on all neighboring countries using an army of autonomous drones known as the Legion. Threatened by the soulless killing machines, the Republic of San Magnolia, home to the silver-haired Alba race, evacuated its citizens inside 85 districts and developed supposedly unmanned drones known as Juggernauts to counter the Legion. Even after years of war, the Republic boasts that they have suffered zero casualties. However, the battlefield bathed in crimson recites a different melody...The hand dealt to the Colorata people—a minority forced into living in the ""nonexistent"" 86th district—is one of utter contempt and scorn. Looked upon as human filth, they are ordered to pilot the Juggernauts as Processors under the command of Republican Handlers.Vladilena Milizé, a republican soldier with a strong sense of justice, detests the way her countrymen treat the 86. When she is assigned to the Spearhead Squadron as their handler, she meets a group of oddballs and eventually grows attached to them—particularly their captain, Shinei Nouzen, a boy with a pure sense of purpose and resolve. However, the path they walk is one riddled with death, and growing close to an 86 may have just set Vladilena down a path of despair.[Written by MAL Rewrite]"," Feb 10, 2017 to ?",https://cdn.myanimelist.net/images/manga/3/194315.jpg
47,"Shoujo Shuumatsu Ryokou
Girls' Last Tour",8.69," Adventure, Slice of Life", 6, 47, Finished, Tsukumizu (Story & Art), Manga,"Amidst a post-apocalyptic world, Chito and Yuuri seem to be the final survivors of the war that brought civilization to its demise. No longer having a place to live, the girls roam around the city on their half-track motorcycle, ever in search of resources to sustain their vagabond lifestyle. Despite the bleak future ahead of them, the duo still finds ways to entertain themselves throughout this melancholic journey.Shoujo Shuumatsu Ryokou takes place in a barren world during the harsh winter season. As the happy-go-lucky Yuuri and the serious Chito hopelessly search for a sign of civilization, their expedition may in fact become humanity's last tour.[Written by MAL Rewrite]"," Feb 21, 2014 to Jan 12, 2018",https://cdn.myanimelist.net/images/manga/1/185918.jpg
48,Chainsaw Man,8.68," Action, Adventure, Demons, Shounen", 11, 97, Finished," Fujimoto, Tatsuki (Story & Art)", Manga,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.Unfortunately, he has outlived his usefulness and is murdered by a devil in contract with the yakuza. However, in an unexpected turn of events, Pochita merges with Denji's dead body and grants him the powers of a chainsaw devil. Now able to transform parts of his body into chainsaws, a revived Denji uses his new abilities to quickly and brutally dispatch his enemies. Catching the eye of the official devil hunters who arrive at the scene, he is offered work at the Public Safety Bureau as one of them. Now with the means to face even the toughest of enemies, Denji will stop at nothing to achieve his simple teenage dreams.[Written by MAL Rewrite]"," Dec 3, 2018 to Dec 14, 2020",https://cdn.myanimelist.net/images/manga/3/216464.jpg
49,Hajime no Ippo,8.68," Action, Comedy, Drama, Shounen, Sports", , , Publishing," Morikawa, George (Story & Art)", Manga,"Makunouchi Ippo is a 16-year-old high school student who helps his mother run the family business. His hefty workload impedes on his social life, making him an easy target for bullies. One day, while being beaten up by a group of high school students, Ippo is saved by a boxer named Mamoru Takamura, and is brought to the Kamogawa Boxing Gym.This afterschool bullying session turns his life around for the better as Ippo discovers his latent talent for boxing and decides to practice the sport professionally. However, Mamoru doubts Ippo's determination and assigns him a task deemed impossible to complete, but the resolute Ippo trains tirelessly to fulfill his mission. Along the way, he finds out what it means to attain true strength while making new friends and fighting formidable foes.[Written by MAL Rewrite]"," Sep 27, 1989 to ?",https://cdn.myanimelist.net/images/manga/1/15282.jpg
50,Hunter x Hunter,8.68," Action, Adventure, Fantasy, Shounen, Super Power", , , Publishing," Togashi, Yoshihiro (Story & Art)", Manga,"""Secret treasure hoards, undiscovered wealth... mystical places, unexplored frontiers... 'The mysterious unknown.' There's magic in such words for those captivated by its spell. They are called 'Hunters'!""Gon Freecss wants to become a Hunter so he can find his father, a man who abandoned him to pursue a life of adventure. But it's not that simple: only one in one hundred thousand can pass the Hunter Exam, and that is just the first obstacle on his journey. During the Hunter Exam, Gon befriends many other potential Hunters, such as the mysterious Killua; the revenge-driven Kurapika; and Leorio, who aims to become a doctor. There's a world of adventure and peril awaiting, and those who embrace it with open arms can become the greatest Hunters of them all![Written by MAL Rewrite]"," Mar 3, 1998 to ?",https://cdn.myanimelist.net/images/manga/2/192445.jpg
51,"Beck
BECK: Mongolian Chop Squad",8.68," Comedy, Drama, Music, Romance, Shounen, Slice of Life", 34, 103, Finished," Sakuishi, Harold (Story & Art)", Manga,"Yukio ""Koyuki"" Tanaka wasted away his middle school days listening to Japanese pop music and apathetically trudging through life—until a casual run-in with the enigmatic guitarist Ryuusuke ""Ray"" Minami. Through this encounter, Koyuki realizes what he has been missing all this time as Ray introduces him to western rock music and jumpstarts his desire to play guitar.Although various struggles plague his path to rock fame, Koyuki refuses to abandon the passion that gave his life purpose, balancing it together with school, work, and friends. Beck tells the story of the love and trial that accompanies pursuing a professional career in music as Koyuki and Ray work toward realizing the guitarist's dream of the ultimate band.[Written by MAL Rewrite]"," Feb 17, 2000 to Jun 5, 2008",https://cdn.myanimelist.net/images/manga/3/171795.jpg
52,ReLIFE,8.67," Comedy, Drama, Romance, School, Slice of Life", 15, 238, Finished," Yayoi, Sou (Story & Art)", Manga,"When the responsibilities of being an adult and the ugly side of corporate bullying betrays one's childhood dreams, many would wish to return to their innocent childhood to relive their life and make the right decisions. Dumbfounded by the offer presented to him, 27-year-old Arata Kaizaki hopes to turn his life around through a once-in-a-lifetime opportunity.Returning home from his part-time job, Arata is persuaded by Ryou Yoake, an employee of ReLife Research Institute, into participating in an experiment which will help him overcome his difficulties and re-enter corporate life. As part of the ReLife experiment, Arata's physique is reverted to that of a 17-year-old, and all he must do is relive his high school life for one year. Waiting for him at the end of the experiment is a job offer that he has been struggling to get ever since he left his first company.With few other options, he decides to go along with this plan. However, with adult-like tendencies and many years since his last formal education, Arata steps into an unexpectedly challenging territory—a normal day of high school.[Written by MAL Rewrite]"," Oct 12, 2013 to Mar 16, 2018",https://cdn.myanimelist.net/images/manga/2/171573.jpg
53,Overlord,8.67," Action, Fantasy, Game, Magic, Supernatural", , , Publishing," Maruyama, Kugane (Story), so-bin (Art)", Light Novel,"Yggdrasil is a virtual reality game renowned for the freedom it offers its players. After a simple tutorial, players are left to explore the world and can customize anything and everything, from their classes to their weapons. However, in the year 2138, the game sees its final hours as its servers shut down at midnight.Momonga, a devoted player of Yggdrasil, decides to spend the game's last hours inside his guild, Ainz Ooal Gown. Strangely, at the stroke of midnight, the game does not log him out. Instead, Momonga finds himself transported to another world, one that is seemingly identical to that of Yggdrasil. Facing an already abnormal situation, he discovers that the NPCs have gained sentience.Trapped in his avatar's skeletal body and desperate to uncover the cause of his predicament and find other players like him, Momonga sets out to take control of the new world with the help of his loyal subjects.[Written by MAL Rewrite]"," Jul 30, 2012 to ?",https://cdn.myanimelist.net/images/manga/1/160558.jpg
54,"Yagate Kimi ni Naru
Bloom Into You",8.67," Drama, School, Shoujo Ai", 8, 50, Finished," Nakatani, Nio (Story & Art)", Manga,"Yuu Koito has always enjoyed romance manga and love songs. She clings to them with the hope that she will one day experience a love story of her own—one that will sweep her off her feet and make her heart flutter. However, reality is often disappointing. When a classmate from junior high confesses his feelings to her, Yuu finds that she feels nothing. Unable to give him an answer, she becomes convinced that she is unable to fall in love.One day, on her way to the student council room, Yuu encounters the council's president, Touko Nanami, turning down a confession from a boy. Inspired by Touko's confidence, Yuu turns to her for help. But when Touko becomes the next person to confess to Yuu, she is confused, yet her heart is set aflutter.Yagate Kimi ni Naru is a manga about grappling with love and growing up. Will Yuu's long-awaited romance finally begin?[Written by MAL Rewrite]"," Apr 27, 2015 to Sep 27, 2019",https://cdn.myanimelist.net/images/manga/1/232311.jpg
55,Blue Period,8.66," Drama, School, Seinen", , , Publishing," Yamaguchi, Tsubasa (Story & Art)", Manga,"Second-year high school student Yatora Yaguchi is bored with his normal life. He studies well and plays around with his friends, but in truth, he does not enjoy either of those activities. Bound by norms, he secretly envies those who do things differently.That is until he discovers the joy of drawing. When he sees a painting made by a member of the Art Club, Yatora becomes fascinated with the colors used in it. Later, in an art exercise, he tries to convey his language without words but instead through painting. After that experience, Yatora finds himself so invested in art that he decides that it is what he wants to do for a living. But there stand multiple obstacles in his way: his parents who are hesitant over his unique choices, his more experienced peers, and the study of a subject much deeper than he initially expected.[Written by MAL Rewrite]"," Jun 24, 2017 to ?",https://cdn.myanimelist.net/images/manga/2/204827.jpg
56,"Kozure Ookami
Lone Wolf & Cub",8.66," Action, Historical, Samurai, Seinen", 28, 142, Finished," Koike, Kazuo (Story), Kojima, Goseki (Art)", Manga,"Ittou Ogami has very little left to live for. Though once the Shogunate's chief executioner, his name is left in ruins after being framed for treason by the treacherous Yagyuu Clan, seeking to steal his position of power. His misfortune does not end here, however; they culminate in the brutal murder of his entire family, including his wife Azami, with only his child Daigorou still left alive.With dishonor upon his head and his beloved wife in the grave, Ittou takes up a new mantle as an assassin for hire. Alongside his young son, Ittou wanders the country in search of revenge, with only the complete destruction of the Yagyuu Clan on his mind. As he travels the land, the number of his successful assassinations quickly grows, and soon the moniker of ""Lone Wolf and Cub"" becomes infamous across the land as the choice assassin to get the job done right.[Written by MAL Rewrite]"," Sep , 1970 to Apr , 1976",https://cdn.myanimelist.net/images/manga/1/159264.jpg
57,Dorohedoro,8.66," Action, Comedy, Fantasy, Horror, Seinen", 23, 190, Finished," Hayashida, Q (Story & Art)", Manga,"Hole—a dark, decrepit, and disorderly district where the strong prey on the weak and death is an ordinary occurrence—is all but befitting of the name given to it. A realm separated from law and ethics, it is a testing ground to the magic users who dominate it. As a race occupying the highest rungs of their society, the magic users think of the denizens of Hole as no more than insects. Murdered, mutilated, and made experiments without a second thought, the powerless Hole dwellers litter the halls of Hole's hospital on a daily basis.Possessing free access to and from the cesspool, and with little challenge to their authority, the magic users appear indomitable to most—aside for a few. Caiman, more reptile than man, is one such individual. He hunts them on a heedless quest for answers with only a trusted pair of bayonets and his immunity to magic. Cursed by his appearance and tormented by nightmares, magic users are his only clue to restoring his life to normal. With his biggest obstacle being his stomach, his female companion Nikaidou, who runs the restaurant Hungry Bug, is his greatest ally.Set in a gritty world of hellish design, Dorohedoro manages a healthy blend of comedy and lightheartedness with death and carnage. Taking plenty of twists and turns while following the lives of Hole's residents, it weaves a unique world of unearthly origin and dreary appearance not for the squeamish or easily disturbed.[Written by MAL Rewrite]"," Nov 30, 2000 to Sep 12, 2018",https://cdn.myanimelist.net/images/manga/2/143111.jpg
58,Shinyaku Toaru Majutsu no Index,8.66," Action, Comedy, Fantasy, Magic, Sci-Fi, Super Power, Supernatural", 23, 178, Finished," Kamachi, Kazuma (Story), Haimura, Kiyotaka (Art)", Light Novel,"Having lasted merely two weeks, World War III has come to an end. Both Accelerator and Hamazura Shiage have returned home to the people they cherish most after overcoming their individual conflicts. The world is at peace and Academy City continues on as normal while the magicians focus their efforts on repairing the damage they took from the war.Among this tranquility, however, someone is missing. Someone who used his right hand to save a young girl while changing the tides of war along the way: the ""Imagine Breaker,"" Touma Kamijou. However, the disappearance of the self-proclaimed ordinary high school student has not affected the majority of the world as the temporary peace is soon broken when new threats, both espers and magicians, emerge across the globe. Now, the heroes of World War III must step forth into battle once more, facing off against some of the most powerful enemies imaginable in order to protect the people they hold most dear.[Written by MAL Rewrite]"," Mar 10, 2011 to Jul 10, 2019",https://cdn.myanimelist.net/images/manga/2/221675.jpg
59,Koten-bu Series,8.66," Adventure, Mystery, School", , , Publishing," Yonezawa, Honobu (Story)", Novel,"Houtarou Oreki is a high school student who lives his life conserving as much energy as possible, only delving into matters that feel absolutely necessary to him. So when his older sister forces him to join the Classics Club to keep it from disbanding, he finds himself terribly inconvenienced.To his surprise, Oreki finds that the Classics Club already has a single member: the inquisitive Eru Chitanda. Not long after, Oreki's friends—the knowledgeable Satoshi Fukube and the headstrong Mayaka Ibara—also join. Although the club does not have any set activities, Chitanda's constant curiosity soon begins to drag the members into all sorts of mystery-solving escapades.Koten-bu Series revolves around the members of the Classics Club as their eccentric day-to-day activities slowly begin to brighten up Oreki's drab way of life.[Written by MAL Rewrite]"," Oct 31, 2001 to ?",https://cdn.myanimelist.net/images/manga/3/80983.jpg
60,Banana Fish,8.65," Action, Adventure, Drama, Shoujo", 19, 110, Finished," Yoshida, Akimi (Story & Art)", Manga,"Ash Lynx is a beauty, a genius—and a murderer. Since childhood, he had been in the care of Dino ""Papa"" Golzine, the mafia boss who turned him into the ruthless killer he is now. At first, Ash was just a pretty face for Golzine’s pleasure, but now estranged from him, a 17-year-old Ash runs his own gang with an iron fist.Eiji Okumura is a young Japanese photographer. Traveling to New York as an assistant, Eiji is set to work on a report about kids living in the streets. There, he meets teenage gang leader Ash and is mesmerized by the boy—who in turn is curious about Eiji's different lifestyle.But this is the dark underground of New York, and recently a series of murders has surfaced in the city, connected only by the words ""Banana Fish."" With personal stakes in this mysterious battle, it is up to Ash, Eiji and their allies to discover what exactly ""Banana Fish"" is, where it came from and how to get rid of it—before the world as they know it descends into chaos.[Written by MAL Rewrite]"," Apr 13, 1985 to Mar 12, 1994",https://cdn.myanimelist.net/images/manga/5/215997.jpg
61,Zaregoto Series,8.65," Action, Mystery, Drama, Supernatural", 9, 71, Finished," NISIO, ISIN (Story), Take (Art)", Light Novel,"The story revolves around an unnamed protagonist and the murders and mysteries he encounters. He tries in vain to stay out of the story, but instead, he always gets dragged into the center of everything. Even though it seems that he contributes a lot, he always finds out that whatever he did was meaningless in the end."," Feb 5, 2002 to Nov 7, 2005",https://cdn.myanimelist.net/images/manga/1/157901.jpg
62,"Kono Subarashii Sekai ni Shukufuku wo!
Konosuba: God's Blessing on This Wonderful World!",8.65," Adventure, Comedy, Fantasy, Supernatural", 17, 127, Finished," Mishima, Kurone (Art), Akatsuki, Natsume (Story)", Light Novel,"Game loving shut-in Kazuma Satou's life as a young schoolboy in Japan abruptly comes to an early end...or at least it was supposed to. When he opens his eyes, though, he sees a beautiful goddess that offers him a once in an after-lifetime chance to be reborn in a parallel world. The catch is that the world is violent and threatened by a growing evil! Fortunately, he can choose any one thing to bring with him. So he chooses the goddess, Aqua! And so his adventure with his gorgeous companion begins—if he could just get enough money and food to survive, keep his goddess out of trouble, and avoid grabbing the attention of the Demon King's army!(Source: Yen Press)"," Oct 1, 2013 to May 1, 2020",https://cdn.myanimelist.net/images/manga/1/174932.jpg
63,"Mushoku Tensei: Isekai Ittara Honki Dasu
Mushoku Tensei: Jobless Reincarnation",8.64, Fantasy, , , Publishing," Rifujin na Magonote (Story), Sirotaka (Art)", Light Novel,"Killed while saving a stranger from a traffic collision, a 34-year-old NEET is reincarnated into a world of magic as Rudeus Greyrat, a newborn baby. With knowledge, experience, and regrets from his previous life retained, Rudeus vows to lead a fulfilling life and not repeat his past mistakes.Now gifted with a tremendous amount of magical power as well as the mind of a grown adult, Rudeus is seen as a genius in the making by his new parents. Soon, he finds himself studying under powerful warriors, such as his swordsman father and a mage named Roxy Migurdia—all in order to hone his apparent talents. But despite his innocent exterior, Rudeus is still a perverted otaku, who uses his wealth of knowledge to make moves on women whom he could never make in his previous life.[Written by MAL Rewrite]"," Jan 23, 2014 to ?",https://cdn.myanimelist.net/images/manga/3/120337.jpg
64,Aria,8.63," Adventure, Comedy, Drama, Sci-Fi, Shounen, Slice of Life", 12, 67, Finished," Amano, Kozue (Story & Art)", Manga,"In the distant future, humanity has terraformed Mars into an oceanic planet to suit their needs. Now known as Aqua, the planet serves as a new home for people discontent with living on Manhome—the planet formerly known as Earth. Being a perfect imitation of Manhome's Venice, the town of Neo-Venezia has inherited all of the rustic charms of the original. Gondolas weave their way through the waterways of the dreamy town while nostalgic alleys await those who travel on foot.Akari Mizunashi, a young Manhome native, has recently made Neo-Venezia her new home. To pursue her dream of becoming a gondolier tour guide—or Undine—Akari joins the Aria Company, one of the most renowned water guide companies in town. As she basks in a simple lifestyle unavailable on Manhome, Akari cheerily ambles through her daily life in Neo-Venezia: the town where magic and miracles abound.[Written by MAL Rewrite]"," Feb 28, 2002 to Feb 29, 2008",https://cdn.myanimelist.net/images/manga/2/202644.jpg
65,Kono Oto Tomare!,8.63," Drama, School, Shounen", , , Publishing," Sakura, Amyuu (Story & Art)", Manga,"Since the graduation of the senior members of the club, Takezou ends up being the sole member of the ""Koto"" (traditional Japanese string instrument) club. Now that the new school year has begun, Takezou will have to seek out new members into the club, or the club will become terminated. Out of nowhere, a new member barges into the near-abandoned club room, demanding to join the club. How will Takezou be able to keep his club alive and deal with this rascal of a new member?(Source: MangaHelpers)"," Aug 4, 2012 to ?",https://cdn.myanimelist.net/images/manga/3/116653.jpg
66,Violet Evergarden,8.63," Drama, Fantasy", 2, 13, Finished," Akatsuki, Kana (Story), Takase, Akiko (Art)", Light Novel,"""Auto-Memories Dolls"" were created with the purpose of recording one's speech and emotions. First invented by Dr. Orland to bring happiness to his wife, such dolls are now being loaned by companies after knowledge of his work became public. Moved by the work of the Auto-Memories Dolls, a woman named Violet Evergarden decides to take up their duties. Beautiful, with golden hair and crystal-blue eyes, she quickly becomes the most popular doll, leaving all her clients delighted by her company.Violet Evergarden is a compilation of heartwarming short stories revolving around the life of the graceful Auto-Memories Doll as she serves her different clients.[Written by MAL Rewrite]"," Dec 25, 2015 to Dec 26, 2016",https://cdn.myanimelist.net/images/manga/1/190961.jpg
67,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka
Will you marry me again if you are reborn?",8.63, Romance, 4, 26, Finished," Morinaga, Miku (Story & Art)", Manga,"Toranosuke Ibuki and his wife Kaoru née Okouchi have been devotedly in love for what has seemed like their entire lives. Now, twenty years later, Toranosuke is bedridden in a hospital, but still, their love perseveres. Together, the infatuated couple reminisce about days gone by—when he proposed, when they first met, their relationships with those around them, and their blissful married life.Though Toranosuke has always been a bit hard-headed and Kaoru a bit short-tempered, their immense love is shown in the wrinkles on their aged skin and in the unbridled devotion in their eyes. It is so strong that they know they will love each other with the same devotion... even in their next life.[Written by MAL Rewrite]"," Oct 20, 2017 to Sep 20, 2019",https://cdn.myanimelist.net/images/manga/1/211769.jpg
68,"Sousou no Frieren
Frieren: Beyond Journey's End",8.63," Adventure, Fantasy, Shounen", , , Publishing," Yamada, Kanehito (Story), Abe, Tsukasa (Art)", Manga,"The demon king has been defeated, and the victorious hero party returns home before disbanding. The four—mage Frieren, hero Himmel, priest Heiter, and warrior Eisen—reminisce about their decade-long journey as the moment to bid each other farewell arrives. But the passing of time is different for elves, thus Frieren witnesses her companions slowly pass away one by one.Before his death, Heiter manages to foist a young human apprentice called Fern onto Frieren. Driven by the elf's passion for collecting a myriad of magic spells, the pair embarks on a seemingly aimless journey, revisiting the places that the heroes of yore had visited. Along their travels, Frieren slowly confronts her regrets of missed opportunities to form deeper bonds with her now-deceased comrades.[Written by MAL Rewrite]"," Apr 28, 2020 to ?",https://cdn.myanimelist.net/images/manga/3/232121.jpg
69,"Shigatsu wa Kimi no Uso
Your Lie in April",8.62," Drama, Music, Romance, School, Shounen", 11, 44, Finished," Arakawa, Naoshi (Story & Art)", Manga,"At a very young age, Kousei Arima was strictly taught how to play the piano and meticulously follow the score by his mother, to the point where he dominated every competition he entered with ease. He earned the title of ""Human Metronome"" for performing almost perfectly. Every musician of his age looked up to him. However, after his mother suddenly dies, he became tone-deaf due to the shock and then disappeared, never to be seen onstage since.Two years later, Kousei lives a monotonous life with his childhood friends Tsubaki Sawabe and Ryouta Watari supporting him. He continues to cling to music, although performing is still an impossibility for him. This is until his unexpected encounter with Kaori Miyazono, a violinist who performs freely without the dictations of a score. A story of friendship, love, music, and a single lie, Kousei's life begins to change and gain color as Kaori helps him to take up music again.[Written by MAL Rewrite]"," Apr 6, 2011 to Feb 6, 2015",https://cdn.myanimelist.net/images/manga/3/102691.jpg
70,"Pluto
Pluto: Urasawa x Tezuka",8.62," Action, Mystery, Mecha, Sci-Fi, Psychological, Seinen", 8, 65, Finished," Urasawa, Naoki (Story & Art), Tezuka, Osamu (Story)", Manga,"The world-famous Swiss robot Montblanc has been violently murdered. Humans and robots around the world mourn for the beloved celebrity, made famous for his service in the 39th Asian War. Montblanc's popularity only grew in the following years after the war, thanks to his dedication to nature conservation, as well as his loving personality.Robotic Europol detective and war veteran Gesicht is sent to investigate Montblanc's tragic demise. Gesicht uncovers evidence of a mysterious entity known only as ""Pluto."" Along with this, he learns of a plot to dismantle the eight specialized robots from around the world who participated in the war. Racing against time to save those who still remain, Gesicht grapples with his memory, morality, and a world full of hate, desperately attempting to defend the fragile coexistence of man and machine.[Written by MAL Rewrite]"," Sep 9, 2003 to Apr 1, 2009",https://cdn.myanimelist.net/images/manga/2/56177.jpg
71,Watashitachi no Shiawase na Jikan,8.61," Drama, Music, Romance, Slice of Life, Psychological, Seinen", 1, 8, Finished," Yumeka, Sumomo (Art)", Manga,"They wanted to die for their own reasons.Juri Mutou is the daughter of a once-famous pianist whose career came to an end after giving birth to her. After a traumatic event she experienced as a teenager, Juri has attempted suicide three times and has come to hate her mother. With her life clouded due to a dark past, her aunt Monica, a member of the clergy, invites her to visit a convict sentenced to death.Yuu is a death row inmate charged with murdering three people, leading to many attempts at ending his own life within his jail cell. He frequently receives letters from Monica, who hopes to help him, but sees this as an act of pity. But when Yuu decides to meet Monica to say that he wants her to stop sending letters, he encounters Juri, a meeting that would change both of their lives.[Written by MAL Rewrite]"," Mar 28, 2008 to Aug 22, 2008",https://cdn.myanimelist.net/images/manga/3/66993.jpg
72,Pandora Hearts,8.60," Adventure, Mystery, Fantasy, Shounen, Supernatural", 24, 107, Finished," Mochizuki, Jun (Story & Art)", Manga,"Reminiscent of a broken toy box, the mystical Abyss is a terrifying realm home to monstrous creatures called ""Chains."" Most believe it to be only a fairy tale, used to scare children who misbehave. Oz Vessalius, the cheerful and mischievous heir of the noble Vessalius family, is one such individual—until, at his coming-of-age ceremony, the mysterious Baskerville Clan inexplicably arrives and condemns him to the Abyss for a sin he didn't commit, nor knows nothing about. Oz then forms a contract with Alice, a unique Chain who can take on human form, in an attempt to escape from the Abyss.Pandora Hearts follows the young boy's struggle to unravel the mysteries behind his sin, the Abyss, and a tragedy from one hundred years ago. Soon, Oz and his companions will find themselves confronted by the Baskervilles and ghosts from the past, as he makes his way back home in a journey plagued by relentless despair.[Written by MAL Rewrite]Included one-shot:
Volume 8: Pandora Hearts (pilot)"," May 18, 2006 to Mar 18, 2015",https://cdn.myanimelist.net/images/manga/5/185498.jpg
73,"Ginga Eiyuu Densetsu
Legend of the Galactic Heroes",8.60," Action, Adventure, Drama, Sci-Fi, Space, Military", 10, 94, Finished," Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)", Novel,"In the far future, two young military leaders rise above their peers. The invincible genius Reinhard von Lohengramm is matched only by the unbeatable magician Yang Wen-li; though the two share a profound respect for each other, they meet on the battlefield not as comrades but as bitter adversaries. Commanding thousands of warships and millions of soldiers, they lead giant space fleets into battle on behalf of the two interstellar states that have wrested for control of the Milky Way for over a century and a half.The Galactic Empire, an absolute monarchy ruled by Kaiser Friedrich von Goldenbaum IV and an entrenched nobility, seeks to suppress the rebels daring to oppose the inviolable crown. The Free Planets Alliance, a representative democracy led by a corrupt High Council, degenerates as its elected leaders⁠ use war and conflict as a way to win popular support. Reinhard is a minor noble who became a High Admiral through his strategic brilliance and his sister's position as the favored concubine of the Kaiser, while Yang is an avid historian and reluctant commodore hailed as a hero despite only using his tactical prowess to navigate around his leaders' incompetence. On opposite sides of the galaxy, the two men have wildly different visions for the future: Reinhard dreams of uniting mankind under his iron fist, while Yang wants only to carve a path to lasting peace. As the war rages on, Reinhard and Yang each strive for their ideals and secure their place among the stars as the leaders of a new era of galactic heroes.[Written by MAL Rewrite]"," Nov , 1982 to Nov , 1987",https://cdn.myanimelist.net/images/manga/5/155231.jpg
74,"Mob Psycho 100
One Hundred Mob Psycho",8.60," Action, Comedy, Super Power, Supernatural", 16, 109, Finished, ONE (Story & Art), Manga,"Shigeo ""Mob"" Kageyama is an eighth-grade student blessed with extraordinary psychic powers. However, Mob decides to suppress his abilities in public due to its destructive and conspicuous nature. To keep his psychic powers honed, he works under Arataka Reigen—a self-proclaimed esper looking to make use of Mob's skills.Alongside Reigen, Mob spends his days exorcising evil spirits at Reigen's behest. With the simple wish to impress his childhood friend Tsubomi Takane, Mob works toward making himself more desirable. But troubles keep on bombarding his daily life, slowly breaking his shackled feelings. With his repressed emotions welling up, there's no telling what will happen once he reaches his limit.[Written by MAL Rewrite]"," Apr 18, 2012 to Dec 22, 2017",https://cdn.myanimelist.net/images/manga/2/204842.jpg
75,Bastard,8.60," Mystery, Drama, Horror, Romance, Psychological", 5, 94, Finished," Kim, Carnby (Story), Hwang, Young-chan (Art)", Manhwa,"There is nowhere that Seon Jin can find solace. At school, he is ruthlessly bullied due to his unsettlingly quiet nature and weak appearance. However, this is not the source of Jin's insurmountable terror: the thing that he fears more than anything else is his own father.To most, Jin's father is a successful businessman, good samaritan, and doting parent. But that is merely a facade; in truth, he is a deranged serial killer—and Jin is his unwilling accomplice. For years, they have been carrying out this ruse with the police being none the wiser. However, when his father takes an interest in the pretty transfer student Yoon Kyun, Jin must make a decision—be the coward who sends her to the gallows like all the rest, or be the bastard of a son who defies his wicked parent.[Written by MAL Rewrite]"," Jul 4, 2014 to May 6, 2016",https://cdn.myanimelist.net/images/manga/1/205549.jpg
76,"Jibaku Shounen Hanako-kun
Toilet-Bound Hanako-kun",8.60," School, Shounen, Supernatural", , , Publishing," Aida, Iro (Story & Art)", Manga,"Rumors of the supernatural overrun Kamome Academy, namely the ""Seven Mysteries."" One of these mysteries is the legend of Hanako-san, the ghost of a young girl residing in the girl's bathroom on the third floor of the old school building, who is said to grant any wish her summoner desires. First-year high school student Nene Yashiro daringly summons Hanako-san in desperate need of love, but the Hanako that appears before her is a boy!After Hanako-kun claims that he has no magical items of use, Nene tries various ways to get noticed by her crush. With her desperation reaching its peak, she gets into trouble after consuming a mermaid scale, which turns her into a fish. Hanako-kun rescues her, binding their fates together in the process; in return for this aid, Nene must become his assistant. Now entangled in the supernatural realm, Nene soon discovers that there's much more to the school's Seven Mysteries than basic rumors.[Written by MAL Rewrite]"," Dec 18, 2014 to ?",https://cdn.myanimelist.net/images/manga/3/192551.jpg
